Title,Pages,date_started,date_read,Book.ID,Author,AdditionalAuthors,AverageRating,OriginalPublicationYear,read_time,MyRating,Gender,Fiction,Childrens,Fantasy,SciFi,Mystery,SelfHelp
1Q84,925,9/3/2019,9/10/2019,10357575,"Murakami, Haruki","Jay Rubin, Philip Gabriel",3.92,2009,7,5,0,1,0,1,1,0,0
A Disorder Peculiar to the Country,256,8/21/2019,8/22/2019,54572,"Kalfus, Ken",NA,3.01,2006,1,4,0,1,0,0,0,0,0
"Alas, Babylon",323,12/21/2019,12/23/2019,38169,"Frank, Pat",NA,4.07,1959,2,5,0,1,0,0,1,0,0
Artemis,305,4/8/2019,4/11/2019,34928122,"Weir, Andy",NA,3.67,2017,3,4,0,1,0,0,1,0,0
"Bird Box (Bird Box, #1)",262,2/7/2019,2/13/2019,18498558,"Malerman, Josh",NA,4.02,2014,6,3,0,1,0,1,0,0,0
"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",314,4/23/2019,4/26/2019,944267,"Cloud, Henry",John  Townsend,4.2,1992,3,3,0,0,0,0,0,0,1
Cell,449,9/12/2019,9/13/2019,10567,"King, Stephen",NA,3.65,2006,1,4,0,1,0,1,1,0,0
"Children of Virtue and Vengeance (Legacy of Orïsha, #2)",404,12/12/2019,12/15/2019,39122774,"Adeyemi, Tomi",NA,4.06,2019,3,4,1,1,0,1,0,0,0
Cujo,432,8/31/2019,9/2/2019,10603,"King, Stephen",NA,3.71,1981,2,2,0,1,0,1,0,0,0
"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",306,7/18/2019,7/21/2019,365,"Adams, Douglas",NA,3.98,1987,3,4,0,1,0,0,1,0,0
"Dorothy and the Wizard in Oz (Oz, #4)",148,10/5/2019,10/6/2019,116597,"Baum, L. Frank",NA,3.77,1908,1,4,0,1,1,1,0,0,0
Elevation,146,6/30/2019,7/1/2019,38355410,"King, Stephen",Mark Edward Geyer,3.67,2018,1,5,0,1,0,1,0,0,0
Empath: A Complete Guide for Developing Your Gift and Finding Your Sense of Self,104,12/23/2019,12/23/2019,36618537,"Dyer, Judy",NA,4.06,NA,0,4,1,0,0,0,0,0,1
"Eric (Discworld, #9; Rincewind #4)",197,8/23/2019,8/25/2019,64218,"Pratchett, Terry",NA,3.75,1990,2,4,0,1,0,1,0,0,0
"Ghastly Gadgets (Cozy Corgi Mysteries, #12)",213,5/28/2019,5/29/2019,44295552,"Abbott, Mildred",NA,4.67,2019,1,4,1,1,0,0,0,1,0
Ghostland: An American History in Haunted Places,320,9/17/2019,9/23/2019,28815491,"Dickey, Colin",NA,3.74,2016,6,4,0,0,0,0,0,0,0
"Glinda of Oz (Oz, #14)",283,11/26/2019,11/29/2019,765300,"Baum, L. Frank",John R. Neill,3.93,1920,3,4,0,1,1,1,0,0,0
"Guards! Guards! (Discworld, #8; City Watch #1)",376,8/6/2019,8/9/2019,64216,"Pratchett, Terry",NA,4.33,1989,3,5,0,1,0,1,0,0,0
Herself Surprised,248,1/27/2019,2/7/2019,376494,"Cary, Joyce",Brad Leithauser,3.85,1941,11,3,0,1,0,0,0,0,0
"Hope Rides Again (Obama Biden Mysteries, #2)",288,12/26/2019,12/27/2019,42390721,"Shaffer, Andrew",NA,3.59,2019,1,4,0,1,0,0,0,1,0
How Music Works,345,3/20/2019,3/30/2019,13235689,"Byrne, David",NA,3.94,2012,10,5,0,0,0,0,0,0,0
"In a Dark, Dark Wood",352,7/24/2019,7/26/2019,23346377,"Ware, Ruth",NA,3.69,2015,2,4,1,1,0,0,0,1,0
Insomnia,890,8/10/2019,8/13/2019,10585,"King, Stephen",Bettina Blanch Tyroller,3.82,1994,3,4,0,1,0,1,0,0,0
It,1156,8/14/2019,8/21/2019,27877138,"King, Stephen",NA,4.24,1986,7,4,0,1,0,1,0,0,0
"Just Evil (Evil Secrets Trilogy, #1)",411,5/29/2019,6/3/2019,13232887,"McKeehan, Vickie",NA,3.83,2011,5,2,1,1,0,0,0,1,0
"Killer Keys (Cozy Corgi Mysteries, #10)",235,2/11/2019,2/13/2019,42773271,"Abbott, Mildred",NA,4.6,2019,2,4,1,1,0,0,0,1,0
Life of Pi,460,7/13/2019,7/16/2019,4214,"Martel, Yann",NA,3.9,2001,3,4,0,1,0,1,0,0,0
Little Fires Everywhere,338,7/28/2019,7/30/2019,34273236,"Ng, Celeste",NA,4.11,2017,2,4,1,1,0,0,0,0,0
"Lords and Ladies (Discworld, #14; Witches #4)",400,9/26/2019,9/29/2019,34529,"Pratchett, Terry",NA,4.17,1992,3,5,0,1,0,1,0,0,0
"MaddAddam (MaddAddam, #3)",394,7/10/2019,7/13/2019,17262203,"Atwood, Margaret",NA,4,2013,3,4,1,1,0,0,1,0,0
"Meddlesome Money (Cozy Corgi Mysteries, #13)",259,8/25/2019,8/26/2019,45784662,"Abbott, Mildred",NA,4.7,2019,1,4,1,1,0,0,0,0,0
"Moving Pictures (Discworld, #10; Industrial Revolution, #1)",396,9/14/2019,9/16/2019,34510,"Pratchett, Terry",NA,3.93,1990,2,5,0,1,0,1,0,0,0
"Oryx and Crake (MaddAddam, #1)",389,7/1/2019,7/5/2019,46756,"Atwood, Margaret",NA,4.01,2003,4,4,1,1,0,0,1,0,0
Oz in Perspective: Magic and Myth in the L. Frank Baum Books,229,9/29/2019,10/2/2019,765307,"Tuerk, Richard",NA,3.25,2007,3,3,0,0,0,0,0,0,0
"Ozma of Oz (Oz, #3)",126,10/4/2019,10/5/2019,60177,"Baum, L. Frank",NA,3.97,1907,1,4,0,1,1,1,0,0,0
"Perilous Pottery (Cozy Corgi Mysteries, #11)",211,3/30/2019,3/31/2019,43700028,"Abbott, Mildred",NA,4.62,NA,1,4,1,1,0,0,0,0,0
"Precarious Pasta (Cozy Corgi Mysteries, #14)",277,12/1/2019,12/5/2019,48557293,"Abbott, Mildred",NA,4.67,NA,4,4,1,1,0,0,0,0,0
Pretty Baby,380,2/15/2019,2/24/2019,23638955,"Kubica, Mary",NA,3.74,2015,9,4,1,1,0,0,0,1,0
"Pyramids (Discworld, #7)",341,7/30/2019,8/5/2019,64217,"Pratchett, Terry",NA,3.91,1989,6,4,0,1,0,1,0,0,0
"Reaper Man (Discworld, #11; Death, #2)",352,9/10/2019,9/12/2019,34517,"Pratchett, Terry",NA,4.28,1991,2,4,0,1,0,1,0,0,0
Redshirts,320,3/15/2019,3/17/2019,13055592,"Scalzi, John",NA,3.85,2012,2,5,0,1,0,0,1,0,0
"Rinkitink in Oz (Oz, #10)",318,11/1/2019,11/10/2019,765301,"Baum, L. Frank",John R. Neill,3.84,1916,9,4,0,1,1,1,0,0,0
Strangers on a Train,256,8/5/2019,8/6/2019,15677,"Highsmith, Patricia",NA,3.78,1950,1,4,1,1,0,0,0,1,0
Summerdale,280,8/1/2019,8/3/2019,46065347,"Collins, David Jay",NA,4.08,NA,2,3,0,1,0,1,0,0,0
Swarm Theory,372,4/14/2019,4/17/2019,29520178,"Rice, Christine",NA,4.56,NA,3,5,1,1,0,0,0,0,0
The 5 Love Languages: The Secret to Love That Lasts,203,6/25/2019,6/26/2019,22928803,"Chapman, Gary",NA,4.25,1990,1,3,0,0,0,0,0,0,1
The Almost Moon,295,3/17/2019,3/20/2019,783291,"Sebold, Alice",NA,2.69,2007,3,4,1,1,0,0,0,0,0
The Android's Dream (The Android's Dream #1),396,8/22/2019,8/23/2019,7081,"Scalzi, John",NA,3.97,2006,1,5,0,1,0,0,1,0,0
The Dutch House,337,12/23/2019,12/26/2019,44318414,"Patchett, Ann",NA,4.26,2019,3,5,1,1,0,0,0,0,0
The Emerald City of Oz (Oz #6),295,10/9/2019,10/14/2019,179668,"Baum, L. Frank",NA,3.88,1910,5,5,0,1,1,1,0,0,0
"The End of All Things (Old Man's War, #6)",380,1/12/2019,1/22/2019,23168809,"Scalzi, John",NA,3.98,2015,10,4,0,1,0,0,1,0,0
The End of Mr. Y,402,3/8/2019,3/15/2019,93436,"Thomas, Scarlett",NA,3.79,2006,7,5,1,1,0,1,0,0,0
The Favorite Sister,375,4/4/2019,4/8/2019,36967019,"Knoll, Jessica",NA,3.09,2018,4,4,1,1,0,0,0,1,0
The Graveyard Book,307,3/4/2019,3/7/2019,2213661,"Gaiman, Neil",Dave McKean,4.13,2008,3,4,0,1,1,1,0,0,0
The History of Love,255,2/26/2019,3/2/2019,3867,"Krauss, Nicole",NA,3.92,2005,4,4,1,1,0,0,0,0,0
"The Human Division (Old Man's War, #5)",431,1/5/2019,1/12/2019,15698479,"Scalzi, John",NA,4.08,2013,7,5,0,1,0,0,1,0,0
The Institute,576,12/6/2019,12/11/2019,43798285,"King, Stephen",NA,4.22,2019,5,4,0,1,0,1,0,0,0
"The Last Colony (Old Man's War, #3)",320,12/29/2018,1/2/2019,88071,"Scalzi, John",NA,4.06,2007,4,5,0,1,0,0,1,0,0
"The Long Cosmos (The Long Earth, #5)",377,6/17/2019,6/25/2019,25859268,"Pratchett, Terry",Stephen Baxter,3.88,2016,8,4,0,1,0,0,1,0,0
"The Long Earth (The Long Earth, #1)",336,5/1/2019,5/5/2019,13147230,"Pratchett, Terry",Stephen Baxter,3.76,2012,4,4,0,1,0,0,1,0,0
"The Long Mars (The Long Earth, #3)",361,5/23/2019,5/28/2019,18586487,"Pratchett, Terry",Stephen Baxter,3.73,2014,5,4,0,1,0,0,1,0,0
The Long Utopia (The Long Earth #4),373,6/7/2019,6/17/2019,23213813,"Pratchett, Terry",Stephen Baxter,3.87,2015,10,5,0,1,0,0,1,0,0
The Long Walk,370,1/23/2019,1/26/2019,9014,"Bachman, Richard",Stephen King,4.11,1979,3,4,0,1,0,0,0,0,0
"The Long War (The Long Earth, #2)",419,5/10/2019,5/18/2019,17167572,"Pratchett, Terry",Stephen Baxter,3.6,2013,8,4,0,1,0,0,1,0,0
"The Lost Princess of Oz (Oz, #11)",318,11/10/2019,11/22/2019,60179,"Baum, L. Frank",John R. Neill,3.93,1917,12,4,0,1,1,1,0,0,0
"The Magic of Oz (Oz, #13)",288,11/23/2019,11/26/2019,533690,"Baum, L. Frank",NA,3.93,1919,3,4,0,1,1,1,0,0,0
"The Marvelous Land of Oz (Oz, #2)",192,10/3/2019,10/4/2019,179565,"Baum, L. Frank",David McKee,3.82,1904,1,5,0,1,1,1,0,0,0
The Miraculous Journey of Edward Tulane,200,12/16/2019,12/17/2019,37186,"DiCamillo, Kate",Bagram Ibatoulline,4.37,2006,1,5,1,1,1,1,0,0,0
The Night Circus,391,12/28/2019,12/30/2019,9361589,"Morgenstern, Erin",NA,4.04,2011,2,5,1,1,0,1,0,0,0
"The Patchwork Girl of Oz (Oz, #7)",346,10/14/2019,10/16/2019,560637,"Baum, L. Frank",John R. Neill,3.89,1913,2,5,0,1,1,1,0,0,0
The Patron Saint of Liars,352,6/26/2019,6/30/2019,15957,"Patchett, Ann",NA,3.8,1992,4,5,1,1,0,0,0,0,0
The Queen's Corgi: On Purpose,181,6/3/2019,6/4/2019,31927265,"Michie, David",NA,3.86,2016,1,4,0,1,1,0,0,0,0
"The Road to Oz (Oz, #5)",261,10/6/2019,10/9/2019,179639,"Baum, L. Frank",NA,3.76,1909,3,4,0,1,1,1,0,0,0
The Robber Bride,528,4/11/2019,4/20/2019,17650,"Atwood, Margaret",NA,3.83,1993,9,4,1,1,0,0,0,0,0
"The Scarecrow of Oz (Oz, #9)",208,10/21/2019,10/31/2019,135288,"Baum, L. Frank",NA,3.82,1915,10,3,0,1,1,1,0,0,0
"The Sentence is Death (Hawthorne, #2)",384,7/26/2019,7/28/2019,39913740,"Horowitz, Anthony",NA,3.98,2019,2,4,0,1,0,0,0,0,0
"The Testaments (The Handmaid's Tale, #2)",422,9/16/2019,9/17/2019,42975172,"Atwood, Margaret",NA,4.23,2019,1,4,1,1,0,0,1,0,0
"The Tin Woodman of Oz (Oz, #12)",294,11/20/2019,11/22/2019,87294,"Baum, L. Frank",John R. Neill,3.86,1918,2,3,0,1,1,1,0,0,0
The Turn of the Key,337,8/27/2019,8/30/2019,42080142,"Ware, Ruth",NA,3.97,2019,3,4,1,1,0,0,0,1,0
"The Wonderful Wizard of Oz (Oz, #1)",154,10/2/2019,10/3/2019,236093,"Baum, L. Frank",W.W. Denslow,3.99,1900,1,5,0,1,1,1,0,0,0
"The Year of the Flood (MaddAddam, #2)",431,7/5/2019,7/10/2019,6080337,"Atwood, Margaret",NA,4.07,2009,5,5,1,1,0,0,1,0,0
"Tik-Tok of Oz (Oz, #8)",272,10/16/2019,11/10/2019,548260,"Baum, L. Frank",John R. Neill,3.82,1914,25,4,0,1,1,1,0,0,0
When We Were Orphans,320,8/30/2019,8/30/2019,28923,"Ishiguro, Kazuo",NA,3.49,2000,0,3,0,1,0,0,0,0,0
"Witches Abroad (Discworld, #12; Witches #3)",374,9/24/2019,9/26/2019,2442,"Pratchett, Terry",NA,4.22,1991,2,5,0,1,0,1,0,0,0
"Wyrd Sisters (Discworld, #6; Witches #2)",265,7/21/2019,7/24/2019,34504,"Pratchett, Terry",NA,4.12,1988,3,5,0,1,0,1,0,0,0
Z for Zachariah,249,4/20/2019,4/22/2019,69477,"O'Brien, Robert C.",NA,3.65,1974,2,4,0,1,0,0,1,0,0
"Zoe's Tale (Old Man's War, #4)",335,1/2/2019,1/4/2019,2102600,"Scalzi, John",NA,3.74,2008,2,4,0,1,0,0,1,0,0
